10 41.12 64
15 69.87 134
20 111.11 229
25 139.46 349
30 189.45 494
35 219.63 664
40 257.47 859
45 300.88 1079
50 335.85 1324
55 398.85 1594
60 443.1 1889
65 505.47 2209
70 562.04 2554
75 544.34 677
80 679.67 3319
85 738.85 3739
90 693.37 940
95 741.78 932
100 823.2 5149
105 838.96 1052
110 887.81 1072
115 988.63 6784
120 979.48 1222
125 1096.51 7999
130 1309.7 8644
135 1125.19 1311
140 1370.75 10009
145 1334.56 10729
150 1301 1729
155 1460.95 12244
160 1389.6 1663
165 1469.25 1774
170 1653.92 14704
175 1582.18 1893
180 1612.45 1955
185 1993.28 17389
190 1717.71 1996
195 1787.47 2186
200 1870.87 2437
205 1906.06 2283
210 1950.42 2301
215 2217.65 23434
220 2299.26 24529
225 2117.46 2500
230 2435.93 26794
235 2226.63 2621
240 2276.36 2618
245 2353.53 2660
250 2977.18 31624
255 2477.26 3162
260 2508.52 2952
265 2575.36 3373
270 2636.17 3250
275 2729.24 3359
280 3120.41 39619
285 2864.66 3462
290 2873.94 3468
295 2940.97 3540
300 2995.58 3448
305 3066.2 3755
310 3109.65 4125
315 3190.38 3773
320 3208.29 3842
325 3293.69 3766
330 3356.6 3983
335 3459.45 4418
340 4012.9 58309
345 4124.98 60029
350 3597.65 4308
355 4287.37 63544
360 3728.13 4270
365 3798.54 4677
370 3859.47 4477
375 3913.91 4717
380 3983.19 4816
385 4749.65 74689
390 4055.87 4754
395 5655.57 78604
400 4966.1 80599
405 4272.52 5122
410 4325.04 5602
415 4402.95 5025
420 5354.8 88829
425 5407.53 90949
430 5517.86 93094
435 5636.36 95264
440 5676.85 97459
445 4805.33 5840
450 5833.2 101924
455 4947.43 6335
460 5012.17 5970
465 6083.78 108809
470 5144.2 6594
475 5209.05 6195
480 5238.8 6204
485 6442.14 118339
490 5419.11 6369
495 5456.8 6354
500 5457.35 6405
505 5541.72 6321
510 5684.69 6451
515 5693.1 6722
520 7067.22 135979
525 5815.39 6938
530 8623.17 141244
535 5956.36 7198
540 6010.45 6888
545 6044.44 7128
550 6142.13 7390
555 6177.15 7906
560 6240.96 7130
565 6324.89 7347
570 7961.9 163304
575 6412.76 7849
580 6576.22 7817
585 6607.01 7801
590 6701.13 8148
595 6812.26 7961
600 6835.11 7670
605 6894.31 8412
610 6901.95 8184
615 7033.77 8329
620 7198.4 8833
625 7195.53 9642
630 7226.75 8442
635 7365.49 9019
640 7336.14 8767
645 7366.68 8707
650 7488.94 8618
655 7561.85 8873
660 7566.49 8985
665 7683.56 9316
670 7753.71 8920
675 7831.81 9054
680 7908.12 9931
685 7961.73 9071
690 8084.35 10230
695 8058.08 8919
700 8145.68 9639
705 8266.43 9471
710 8263.94 9402
715 8298.49 9564
720 8494.54 10013
725 8489.3 10063
730 8529.46 10273
735 8683.02 9668
740 8717.81 10049
745 8774.4 10691
750 8771.27 10507
755 8907.67 10400
760 9034.42 10854
765 9025.54 10319
770 9125.53 10670
775 9153.87 10238
780 9257.65 10794
785 9520.35 11061
790 9433.83 11056
795 9530.51 11961
800 9585.44 10971
805 9616.07 11041
810 9742.81 11714
815 9695.43 11520
820 9863.56 11497
825 9929.1 11240
830 9926.81 11375
835 10021.3 12358
840 10012.8 11614
845 10163.6 12340
850 10176.1 11322
855 10238 11789
860 10432.6 12024
865 10343.7 11851
870 10526.6 12142
875 18132.4 384124
880 14516.9 388519
885 10778 12586
890 14620.6 397384
895 10878.5 13045
900 10875.8 14065
905 10966 12676
910 11057.7 12318
915 11126.7 12776
920 11270.9 12677
925 11262.4 12608
930 11383.5 12929
935 11380.2 13276
940 11463.2 12817
945 11682.1 13689
950 11789.3 14291
955 11727.8 13561
960 11788.6 13567
965 11889.5 13699
970 11888.5 14391
975 11944.4 14211
980 12109.6 14459
985 12148.4 13842
990 12161.5 13891
995 12173.8 14583
1000 12348.1 14166
